排名,单词,频次,出现卷数,音标,释义,同义词,例句(英),例句(中),词库来源
240,contain,54,37,/kən'teɪn/,v.包含，容纳；等于,involve / possess / regulate / manage / accept,The thieves stole a purse containing bank-notes.,小偷们偷到了一个里面有钞票的钱包。,CET4_2
241,far,54,34,/fɑː/,adj.远的  adv.远，遥远,greatly / quite / badly / too / powerful,We can walk to my house from here. It isn’t far.,我们可以从这里步行去我家，不远。,CET4_2
242,produce,54,28,/prə'djuːs/,v.生产；产生；展现,attract / cause / operate / occasion / induce,New drugs are producing remarkable results .,新药正在产生显著的效果。,CET4_2
243,poor,54,28,/pɔː; pʊə/,adj.贫穷的；贫乏的,mean / base / dirty,Her family were so poor they couldn’t afford to buy her new clothes.,她家穷得甚至买不起新衣服给她。,CET4_2
244,leave,54,29,/liːv/,v.离去  v.离开,split / quit / refer / get out / remain,My baby gets upset when I leave the room.,我一离开房间宝宝就会不安。,CET4_2
245,traffic,54,10,/'træfɪk/,n.交通，通行；交通量,transportation / commerce / trade / carriage / exchange,There wasn’t much traffic on the roads.,路上车辆不多。,CET4_2
246,face,53,29,/feɪs/,n.脸；表面；外表,surface / outside / garment / look / open to,She had a beautiful face.,她面容秀美。,CET4_2
247,activity,53,29,/æk'tɪvɪtɪ/,n.活动；活力；行动,movement / doing / campaign / working / act,Everyone is free to engage in peaceful political activity.,每个人都可以自由参加和平的政治活动。,CET4_2
248,select,53,47,/sɪ'lekt/,adj.精选的， 挑选出来的； 优等的， 第一流的  vt.选择，挑选,pack / choose from / wonderful / excellent / famous,The party was small and select.,团里人员不多，都是经过精心挑选的。,CET4_3
249,demand,53,28,/dɪ'mɑːnd/,vt.要求，需要；询问  n.要求， 需要,exact / lack / desire / call for / wish,Angry demonstrators demanded the resignation of two senior officials.,愤怒的示威者要求两名高级官员辞职。,CET6_3
250,drive,53,25,/draɪv/,v.驾驶；打入；驱,belt / jab at / launch / force / impulse,Torrential rain drove the players off the course.,滂沱大雨迫使选手们离开了赛场。,CET4_2
251,light,53,9,/laɪt/,adj.轻的，少量的,lamp / lucency / easy / shining / brighten,You can carry this bag – it’s fairly light.,你可以拿这个袋子——它很轻。,CET4_2
252,culture,53,24,/'kʌltʃə/,n.文化， 文明； 教养； 培养； 培养菌,civilization / planting / rear / foster / plant,We speak Danish at home so that the boys don’t lose touch with their language and culture.,我们在家说丹麦语，这样男孩子们就不会脱离他们的语言和文化。,CET6_3
253,art,53,18,/ɑːt/,n.艺术，美术；技术,beaux-arts / artwork / artistic / are / am,the Museum of Modern Art in New York,纽约现代艺术博物馆,CET4_2
254,real,52,28,/riːl/,adj.真的；现实的,practical / actual / effective / sincere / honest,There is a real danger that the disease might spread.,这种疾病确实有蔓延的危险。,CET4_2
255,development,52,26,/dɪ'veləpm(ə)nt/,n.发展；开发；生长,exploitation / growth / making / advance / progress,child development,儿童发育,CET4_2
256,resource,52,25,/rɪ'sɔːs; rɪ'zɔːs/,n.资源； 财力； 应付办法， 谋略,financial ability,Canada’s vast mineral resources,加拿大丰富的矿产资源,CET4_3
257,reason,52,31,/'riːz(ə)n/,v.论证，推断,motivation / excuse / incentive / sake / account,They reasoned that other businesses would soon copy the idea.,他们推断其他企业也会很快仿效这个点子。,CET6_2
258,gas,52,15,/gæs/,n.煤气；气体；汽油,gasoline / wase / oil / to fill the tank / to fill the tank,hydrogen gas,氢气,CET4_2
259,emission,52,12,/ɪ'mɪʃ(ə)n/,n.散发；传播；发出物,shot / sending / launch / jet / projection,the emission of carbon dioxide into the atmosphere,向大气排放二氧化碳,CET6_2
260,effort,52,31,/'efət/,n.努力；努力的成果,achievement / success / pain / struggle / trial,"Lou lifted the box easily, without using much effort.",卢没费多大力气就把箱子搬了起来。,CET4_2
261,difference,52,27,/'dɪf(ə)r(ə)ns/,n.差别；差；分歧,diversity / conflict / disparity / deviations,(= there’s a very big difference ) between us.,我们之间有着天壤之别。,CET4_2
262,percent,52,18,/pə'sent/,n.百分之…,proportion / part / portion / integral / fraction,"At the end of the day, add up the percent DVs.",在一天结束后，把所有营养素的百分比加起来。,CET4_2
263,save,52,22,/seɪv/,v.节省,hold / economize on / economize on / spare no effort / succor,We’ll save a lot of time if we go by car.,我们要是开车去，可以节省很多时间。,CET4_1
264,consumer,52,19,/kən'sjuːmə/,n.消费者，用户,user / customer / client / guest,Consumers will soon be paying higher airfares.,不久消费者就要支付更高的机票价了。,CET6_2
265,task,52,23,/tɑːsk/,n.任务，工作,job / work / role / pursuit / labor,Sara had the task of preparing the agenda for meetings.,萨拉的任务是准备会议议程。,CET4_1
266,please,51,46,/pliːz/,v.使高兴，请vi满意,glad / satisfy / ace in / prithee,a business that wants to please its customers,希望让顾客满意的一家公司,CET4_2
267,global,51,22,/'gləʊb(ə)l/,adj.全球的,spherical / ball-shaped,global climate change,全球气候变化,CET6_2
268,decide,51,32,/dɪ'saɪd/,v.决定，决心；解决,settle / condition / conclude / will / determine to,Has anything been decided yet?,已经作出什么决定了吗？,CET4_2
269,policy,51,21,/'pɒləsɪ/,n.政策，方针,deal / programm,...plans that include changes in foreign policy and economic reforms.,…包括外交政策调整和经济改革的计划。,CET4_2
270,kind,51,29,/kaɪnd/,n.种类,category / variety / property / nature / manner,Get me a sandwich – any kind will do.,给我一份三明治，随便哪种都可以。,CET4_2
271,instead,50,31,/ɪn'sted/,adv.代替，顶替；反而,,You probably picked up my keys instead of yours.,你可能没拿你的钥匙而错拿了我的。,CET4_2
272,train,50,30,/treɪn/,n.火车；行列；长队；裙裾  v.培养；训练；瞄准,iron horse / choochoo / aim for / take aim at,We went all the way to Inverness by train.,我们一路坐火车到因弗内斯。,GaoZhong_2
273,item,50,46,/'aɪtəm/,n.条， 条款,event / provision / clause / article,He opened the cardboard box and took out each item.,他打开纸板箱把里面的物品一一拿出来。,CET6_3
274,water,50,22,/'wɔːtə/,n.水  v.使湿，灌溉,seawater / eau / shed tears / pipe one's eye,There’s water all over the bathroom floor.,浴室地面上都是水。,CET4_2
275,car,50,18,/kɑː/,n.汽车，小汽车，轿车,automobile / motor,Dan got out of the car and locked the door.,丹下了车，锁上车门。,CET4_2
276,project,49,27,/prəˈdʒekt; ˈprɒdʒekt/,v.伸出； 投射； 放映  n.方案， 计划； 课题， 项目； 工程,design / engineer / design / schedule / engineer,Bradley projects a natural warmth and sincerity.,布拉德利表现出一种自然的热情和真诚。,CET6_3
277,access,49,26,/ˈækses/,v.取得，获取,make use of / fashion / employ / border / exercise,Users can access their voice mail remotely.,用户可以远程获取语音邮件。,CET6_1
278,hour,49,22,/'aʊə/,n.小时；时间，时刻,period / stunde,The interview will last about two hours.,面试大概要持续两小时。,CET4_2
279,run,49,26,/rʌn/,v.经营；奔跑；运转  n.奔跑；赛跑；趋向；奔跑的路程,go / fare / conduct / direct / control,"For a while, she ran a restaurant in Boston.",有一段时间她在波士顿开餐馆。,GaoZhong_2
280,compare,49,29,/kəm'peə/,vt.比较， 对照； 把…比作,contradistinguish / be confronted with / match / parabole,The report compares the different types of home computer available.,这份报告比较了市场上不同类型的家用计算机。,CET6_3
281,stop,49,19,/stɒp/,v.停止；堵塞；断绝  n.停止；车站；障碍；逗留,cheese / quit / remain / desist from / visit,Stop throwing those stones!,别再扔那些石头了！,KaoYan_2
282,friend,49,26,/frend/,n.朋友，友人,assistant / fellow / aid,"Jerry, this is my friend Sue.",杰里，这是我的朋友休。,CET4_2
283,success,48,26,/sək'ses/,n.成就，成功；成功的事物，有成就的人,victory / prosperity / achievement / effort / accomplishment,The experiment was a big success.,实验非常成功。,KaoYan_1
284,major,48,25,/'meɪdʒə(r)/,adj.主要的  v.主修,crucial / important / primary / considerable / central,There are two major political parties in the US.,美国有两大政党。,CET4_1
285,point,48,30,/pɒɪnt/,n.点；要点；细目；分,core / main / heart / kernel / essential,That’s a very interesting point.,那个观点很有趣。,CET4_2
286,condition,48,32,/kən'dɪʃ(ə)n/,n.状况，状态；环境,circumstance / situation / context / qualification / thing,"Profits increased by £1.5m, despite the difficult economic conditions.",尽管经济形势不佳，利润还是增长了150万英镑。,CET4_2
287,actually,47,27,/'æktjʊəlɪ; -tʃʊ-/,adv.实际上；竟然,really / effectively / virtually / even / practically,"I’ve known Barbara for years. Since we were babies, actually.",我认识芭芭拉很多年了，实际上我们从小就认识。,CET4_2
288,team,47,19,/tiːm/,v.协作，合作,group / crew / suit / partner / work together,black trousers teamed with a bright shirt,配亮色衬衫的黑裤子,CET6_2
289,attach,47,39,/ə'tætʃ/,vt.缚， 系， 贴， 附加； 使依恋， 使喜爱； 使附属； 认为有,stick on / piece on / to accompany / be with,"When approving a merger, the commission can attach conditions.",委员会在批准公司合并时可能附加条件。,CET6_3
290,measure,47,24,/ˈmeʒə(r)/,n.措施,extent / degree / survey / dimension / size,New safety measures were being demanded after last night’s horrific train crash.,昨晚发生严重的火车相撞事故后，民众要求制定新的安全措施。,CET6_1
291,open,47,27,/'əʊp(ə)n/,adj.开的；开放的  v.开,honest / transparent / proceed / lie / crack,He threw the door open and ran down the stairs.,他猛地打开门，往楼下跑去。,CET4_2
292,claim,47,20,/kleɪm/,v.索取，声称,exact / say / lack / desire / call for,"I don’t claim to be a feminist, but I’d like to see more women in top jobs.",我不会自称是女权主义者，但我希望看到更多的女性担任高职。,CET6_1
293,always,47,30,/'ɔːlweɪz; -ɪz/,adv.总是，一直；永远,forever and ever / immer,Always lock your bicycle to something secure.,每次都要把自行车锁在牢固的物体上。,CET4_2
294,specie,47,19,/ˈspiːʃiːz/,n.物种；种类（species 的词形）,,This species is found only in the tropics.,该物种仅见于热带地区。,manual
295,away,47,36,/ə'weɪ/,adv.离开，远离；…去,aside / beyond,Go away!,走开！,CET4_2
296,eat,47,20,/iːt/,v.吃，喝  v.吃饭,drink / take / burden / attack / to erode,Felix chatted cheerfully as he ate.,费利克斯一边吃一边兴奋地聊天。,CET4_2
297,encourage,46,29,/ɪn'kʌrɪdʒ/,v.鼓励,heart / stimulate / power / hand / second,I want to thank everyone who has encouraged and supported me.,我要感谢每一位鼓励和支持过我的人。,CET6_1
298,affect,46,28,/ə'fekt/,v.影响；感动,influence / impact of / impact on / catch / contract,the areas affected by the hurricane,受飓风影响的地区,CET4_2
299,decade,46,30,/'dekeɪd/,n.十年， 十年期,decennium / dix,...the last decade of the nineteenth century.,…19世纪的最后10年。,CET6_3
300,stress,46,15,/stres/,v.强调,pressure / significance / intensity / heat / tension,Crawford stressed the need for more housing downtown.,克劳福德强调市中心需要建更多的住宅。,CET6_1
301,importance,46,33,/ɪm'pɔːt(ə)ns/,n.重要；重要性,moment / price / value / worth / magnitude,He was full of his own importance (= he behaved in an annoying way which showed that he thought he was very important ).,他自以为很了不起。,CET4_2
302,music,46,12,/'mjuːzɪk/,n.音乐，乐曲，乐谱,,I often listen to classic music when I’m in the car.,我在车上经常听古典音乐。,CET4_2
303,math,46,9,/mæθ/,n.数学（等于mathematics）,arith,Tim’s good at math and science.,蒂姆的数学和自然科学很好。,ChuZhong_2
304,lecture,45,41,/'lektʃə/,n&vi.演讲，讲课,speech / lesson / address / talk / discourse upon,...a series of lectures by Professor Eric Robinson.,…埃里克·鲁滨逊教授的系列讲座。,CET4_2
305,lose,45,28,/luːz/,v.失去；迷失；输掉,spend / waste on / founder / come to naught,I’ve lost my appetite.,我已经没有了胃口。,CET4_2
306,able,45,28,/'eɪb(ə)l/,adj.有能力的；出色的,capable / efficient / competent,one of my more able students,我班上能力比较强的学生之一,CET4_2
307,clear,45,28,/klɪə/,adj.清晰的  v.清除,distinct / liquid / fair / fine / crystal,clear instructions,明确的指示,CET4_2
308,already,45,28,/ɔːl'redɪ/,adv.早已，已经,yet,The design of the new house is similar to those that have already been built.,新房的设计与那些已建好的房子相似。,CET4_2
309,competition,45,14,/ˌkɒmpə'tɪʃn/,n.比赛； 竞争,game / war / match / tournament / struggle,Going to trade fairs is an ideal opportunity to size up the competition .,参加商品交易会是估量竞争规模的理想机会。,CET6_3
310,phone,45,16,/fəʊn/,n.电话，电话机；耳机,telephone / call / call up sb / ring up / telephone,Much of his work is done by phone .,他的工作大部分是通过电话进行的。,CET4_2
311,side,44,23,/saɪd/,n.旁边，侧面；坡，岸；一边/侧/方  v.支持,aspect / respect / support of / root for / undertake,Fuel is cheaper on the French side of the border.,燃料在边境那边的法国要便宜些。,KaoYan_1
312,bad,44,27,/bæd/,adj.坏的，恶的；严重的,acute / serious / ill / wrong / rascality,I have some bad news for you.,我有坏消息要告诉你。,CET4_2
313,easy,44,29,/'iːzɪ/,adj.容易的；安逸的,pleasant / comfortable / light / easiest / lightly,The test was easy.,考试很容易。,CET4_2
314,concern,44,30,/kən'sɜːn/,n.所关切的事；商行,deal with / to relate to / relationship / connection / attention,One of the concerns that people have is the side effects of treatment.,人们担心的问题之一是治疗的副作用。,CET6_2
315,local,44,20,/'ləʊk(ə)l/,adj.地方的；局部的,native / partial / regional / provincial,local hospital,当地医院,CET4_2
316,someone,44,25,/'sʌmwʌn/,pron.有人，某人,,What would you do if someone tried to rob you in the street?,要是有人在街上抢劫你，你会怎么办？,GaoZhong_2
317,today,44,26,/tə'deɪ/,adv.今天；现今  n.今天；现今,nowadays,I couldn’t go shopping yesterday so I’ll have to go today.,我昨天没能去买东西，所以今天我必须去。,GaoZhong_2
318,control,44,26,/kən'trəʊl/,v.控制，克制  n.控制,governance / administration / management / supervision / checking,Police had to be called in to control the crowds.,只好调来警察控制人群。,CET4_2
319,sentence,44,26,/'sentəns/,v & n.判决,award / proposition / determine / adjudge,She received an eight-year prison sentence.,她被判八年徒刑。,CET4_1
320,contribute,43,28,/kən'trɪbju:t/,v.有助于,make contribution / offer up / make contribution / offer up,"The U.S. is contributing $4 billion in loans, credits, and grants.",美国以信贷和赠与的方式捐助了40亿美元。,CET6_1
321,economy,43,20,/i'kɒnəmi/,n.经济； 节约， 节省,saving / thrift,The council must make economies to meet government spending targets.,市政会必须采取节约措施以达到政府的开支指标。,CET6_3
322,test,43,17,/test/,n.试验；检验  v.试验；测试,monitoring / experiment / proof / try / proof,Did you get a good mark in the test?,你这次测验成绩好吗？,GaoZhong_2
323,class,43,20,/klɑːs/,n.班，班级；阶级,category / variety / manner / nature / kind,He’s not in the same class (= not as good ) as her at tennis.,他的网球水平并不如她。,CET4_2
324,enjoy,43,26,/ɪn'dʒɒɪ; en-/,v.享受；欣赏，喜爱,to appreciate / feast,Sandra enjoys her job in the city.,桑德拉很喜欢她在城里的这份工作。,CET4_2
325,knowledge,43,27,/'nɒlɪdʒ/,n.知识，学识；知道,information / awareness / science / learning / discipline,He did not have much knowledge of American history.,他对美国历史所知不多。,CET4_2
326,model,43,18,/'mɒdl/,n.模型；模式；模特儿,matrix / former / shape / fashion / type,a working model (= one with parts which move ) of a steam engine,蒸汽机车的活动模型,CET4_2
327,satellite,43,5,/'sætəlaɪt/,n.附属国,moon / suite,a satellite country,卫星国,CET6_2
328,move,43,24,/muːv/,n.行动，步骤,removal / shift / procedure / motion / migration,She’s still thinking about her next move.,她还在考虑她的下一步行动。,CET6_2
329,beauty,43,9,/'bjuːtɪ/,n.美，美丽；美人,fair / pulchritude,her beauty and grace,她的美貌和优雅风姿,CET4_2
330,nation,42,15,/'neɪʃ(ə)n/,n.民族；国家,country / state / folk / people / soil,the President’s radio broadcast to the nation,总统对全国的广播讲话,CET4_2
331,negative,42,27,/'negətɪv/,adj.负的；（结果）阴性的,passive / destructive / infirmation / disaffirmation / deny,a negative trade balance,贸易逆差,CET6_2
332,career,42,23,/kə'rɪə/,n.生涯，职业，经历,enterprise / profession / employment / pursuit / cause,a teaching career,教学事业,CET4_2
333,greenhouse,42,10,/'griːnhaʊs/,n.温室，玻璃暖房,heated housing / glasshouse,,,CET4_2
334,involve,42,29,/ɪn'vɒlv/,vt.使卷入， 牵涉； 包含， 含有,contain / comprise,What will the job involve?,这份工作包括什么？,CET6_3
335,ask,42,27,/ɑːsk/,v.问；要求；邀请,invite / lack / question / desire / exact,‘What’s your name?’ she asked.,“你叫什么名字？”她问道 。,CET4_2
336,cannot,42,26,/ˈkænɒt/,v.不能；无法,,I cannot agree with you on this point.,在这一点上我无法同意你。,manual
337,sleep,42,15,/sliːp/,v.睡，睡觉  n.睡眠,sack out / to go to bed / morpheus / shut-eye,I usually sleep on my back.,我一般仰卧着睡觉。,KaoYan_2
338,gain,42,27,/geɪn/,v.获得；增加  n.增进,enhancement / increase / profit / margin / harvest,"After gaining independence in 1957, it was renamed ‘Ghana’.",1957年获得独立后，该国改名为“加纳”。,CET4_2
339,protect,42,18,/prə'tekt/,v.保护，保卫，警戒,secure / watch / preserve,Are we doing enough to protect the environment?,我们在保护环境方面做得够吗？,CET4_2
340,achieve,42,26,/ə'tʃi:v/,v.达到，实现,accomplish / carry out / perform / complete / fulfil,Frances achieved very good exam results.,弗朗西丝考试取得了优异成绩。,CET6_1
341,prevent,42,28,/prɪ'vent/,v.预防,dispute / stem / block / stem / hinder from,The rules are intended to prevent accidents.,这些规定旨在预防事故。,CET4_1
342,remain,42,25,/rɪ'meɪn/,vi.剩下，余留，保持；仍然是  n.残余； 残骸； 遗迹,stop / keep up / debris / relic,The refugees were allowed to remain in the UK.,难民获准留在英国。,CET6_3
343,hold,42,30,/həʊld/,v.拿住；掌握；拥有,own / save / support of / stand up for sb / control,He holds shares in ICI.,他持有帝国化学工业集团的股份。,CET4_2
344,power,42,19,/'paʊə/,n.能力；力；权；幂,strength / ability / competence / regime / force,They seized power in a military coup.,他们在一场军事政变中夺取了政权。,CET4_2
345,mind,42,21,/maɪnd/,n.头脑；理智；记忆,opinion / intelligence / energy / memory / spirit,It is impossible to understand the complex nature of the human mind .,要想了解人类思维复杂的特性是不可能的。,CET4_2
346,form,41,27,/fɔːm/,n.形式；形状  v.形成,way of / manner / configuration / mode / profile,We oppose racism in all its forms.,我们反对各种形式的种族主义。,CET4_2
347,course,41,23,/kɔːs/,n.课程；过程；一道菜,path / mechanism / process / way / road,,,CET4_2
348,green,41,11,/griːn/,adj.绿色的  n.绿色,herbaceous / vernal / youth / bice,beautiful green eyes,漂亮的碧眼,CET4_2
349,across,41,24,/ə'krɒs/,prep.横过；在…对面,through / opposite,,,CET4_2
350,advance,41,26,/əd'vɑ:ns/,v & n.前进，提前,development / growth / making / progress / increase,I should warn you in advance that I’m not a very good dancer.,我要先提醒你，我跳舞不是很好。,CET4_1
351,patient,41,10,/'peɪʃ(ə)nt/,adj.忍耐的  n.病人,indefatigable / sick / sufferer,You’ll just have to be patient and wait till I’m off the phone.,你只能耐心点，等我打完电话。,CET4_2
352,quality,41,23,/'kwɒlɪtɪ/,n.品质,talent / capability / ability / identity / character,Much of the land was of poor quality.,很多地的土质很差。,CET4_1
353,positive,41,21,/'pɒzɪtɪv/,adj.正的，阳性的；正的，正极的，阳性的；正的，正数的,active / established / practical / actual / fixed,The test results came back positive.,化验结果呈阳性。,CET6_2
354,field,41,22,/fiːld/,n.田野；田；运动场,domain / province / territory / world / kingdom,a view of green fields and rolling hills,田野青翠、丘陵起伏的景色,CET4_2
355,close,41,28,/kləʊs/,v.关，闭；结束,familiar / near / compact / conclude / pull the plug,Would you mind if I closed the window?,我把窗户关上你不介意吧？,CET4_2
356,comment,41,33,/'kɒment/,n.评论,opinion / criticism / mind / judgement / thinking,He was fined for making abusive comments to the referee.,他因谩骂裁判而被罚款。,CET4_1
357,effective,40,30,/ɪ'fektɪv/,adj.有效的； 有影响的,valid / available / virtual / practical / telling,The cheaper drugs are just as effective in treating arthritis.,较便宜的药品对治疗关节炎同样有效。,CET6_3
358,prove,40,28,/pruːv/,v.证明  v.结果是,demonstrate / reveal / make clear / argue,"You’re wrong, and I can prove it.",你错了，我可以证明。,CET4_2
359,age,40,19,/eɪdʒ/,n.年龄；时代  v.变老,era / time / stage / phase / grade,Francis is the same age as me.,弗朗西斯和我同年岁。,CET4_2
360,advice,40,14,/ədˈvaɪs/,n.建议,suggestion / proposal / information / instance / notice,You should have followed my advice.,你真该听我的建议。,CET4_1
361,adult,40,19,/'ædʌlt; ə'dʌlt/,n.成年人  adj.成年的,developed / grown / mature / major / grown-up,Some children find it difficult to talk to adults.,一些孩子觉得与大人很难谈得来。,CET4_2
362,term,40,21,/tɜːm/,"n.学期;期限,期间;(pl.)条件,条款;术语",technology / item / session / provision / article,Teachers often feel overworked in term time (= during the term ) .,教师在学期内经常觉得工作担子过重。,KaoYan_1
363,population,40,22,/pɒpjʊ'leɪʃ(ə)n/,n.人口；全体居民,syngen / species group,Nearly 70 percent of the population still live in the countryside.,人口中差不多有70%仍住在乡村。,CET4_2
364,old,40,20,/əʊld/,adj.老的；…岁的,ancient / aged / advanced,How old are you?,你多大年纪？,CET4_2
365,law,40,16,/lɔː/,n.法律，法令；法则,legislation / litigation / suit / lawsuit / take legal action,Elected officials ought to obey the law.,民选官员理应遵守法律。,CET4_2
366,digital,40,14,/'dɪdʒɪt(ə)l/,adj.数字的，计数的,numerical / figure / key / number,digital TV,数字电视,CET4_2
367,physical,40,24,/ˈfɪzɪkl/,adj.身体上的,personal / material / natural / medical examination / check-up,She was in constant physical pain.,她一直感到身上疼痛。,CET4_1
368,lack,39,27,/læk/,v.缺少,ask / claim / fail / low in / shortage,Alex’s real problem is that he lacks confidence.,亚历克斯的真正问题是缺乏信心。,CET6_1
369,step,39,21,/step/,n.步，脚步；步骤；步伐；梯级  v.踏，踩；走,procedure / move / go / walk / track,a video of baby’s first steps,一盒婴儿学步的录像带,KaoYan_2
370,rich,39,19,/rɪtʃ/,adj.富有的；肥沃的；昂贵的  n.(Rich)人名；(丹)里克；(捷)里赫；(英、西)里奇；(葡、法)里什,expensive / dear / wealthy / costly,Rich mineral deposits have been found in the sea bed.,海底发现有丰富的矿床。,KaoYan_2
371,support,39,26,/sə'pɔːt/,v.经受，承受,encourage / facilitate / second / carry / boost,The middle part of the bridge is supported by two huge towers.,桥的中部由两个巨型桥塔支撑。,CET6_2
372,enough,39,26,/ɪ'nʌf/,adj.足够的  adv.足够地,adequately / sufficiently / amplitude / ton / plenty of,Her disappearance and death would give proof enough of Charles' guilt.,她的失踪和死亡将提供足够的证据证明查尔斯有罪。,CET4_2
373,continue,39,24,/kən'tɪnjuː/,v.继续，连续；延伸,run on / carry on with,He will be continuing his education in the US.,他将在美国继续求学。,CET4_2
374,reach,39,28,/riːtʃ/,v.抵达；伸出vi达到,go / range / arrive at / accomplish / affect,Chelsea could reach the final of the European Cup.,切尔西队会进入欧洲杯决赛。,CET4_2
375,national,39,20,/'næʃ(ə)n(ə)l/,adj.民族的；国家的,state / natl / subject,Religion matters very much at a national level.,宗教事务在全国都非常重要。,CET4_2
376,communication,39,20,/kəˌmjuːnɪ'keɪʃn/,n.通讯， 交流， 交际； 通信工具， 交通联系,telecommunications / exchange,Good communication is vital in a large organization.,在大机构里良好的沟通是极为重要的。,CET6_3
377,tell,39,25,/tel/,v.告诉，说；辨别；吩咐；断定  n.(Tell)人名；(英、德、瑞典)特尔；(罗、意)泰尔；(阿拉伯)塔勒,quo / talk / observe / bid / beef,I’ll tell you all about it when I get back.,我回来再告诉你这一切。,GaoZhong_2
378,standard,39,19,/'stændəd/,n.标准；水准；旗；度量衡标准  adj.标准的；合规格的；公认为优秀的,criterion / norms / level / prototype / Canon,Students have to reach a certain standard or they won’t pass.,学生必须达到某一标准，否则无法通过。,KaoYan_2
379,belief,39,17,/bɪ'liːf/,n.信任，相信；信念,faith / teaching / trust / doctrine,"When you get something wrong, it can shake your belief in yourself.",如果有什么事情没做好，就会动摇你对自己的信心。,CET4_2
380,since,39,21,/sɪns/,conj.因为；由于；既然；自…以来；自…以后  prep.自…以来；自…以后  adv.后来,because / for / seeing / when / now,We’ve been waiting here since two o’clock.,我们从两点钟开始就在这里等了。,GaoZhong_2
381,exist,38,24,/ɪg'zɪst; eg-/,v.存在；生存，生活,occur / live / harbor,The custom of arranged marriages still exists in many countries.,许多国家仍存在包办婚姻的习俗。,CET4_2
382,almost,38,22,/'ɔːlməʊst/,adv.几乎，差不多,nearly / most / virtually / practically / feckly,Have you almost finished?,你差不多完成了吗？,CET4_2
383,century,38,20,/ˈsentʃərɪ/,n.世纪，百年,,the story of life on a small farm at the turn of the century,讲述世纪初一个小农场生活的故事,CET4_2
384,case,38,22,/keɪs/,n.情况；事实；病例,situation / circumstance / instance / thing / condition,Tom’s career is a case in point (= a clear example of something that you are discussing or explaining ) .,汤姆的事业就是个明证。,CET4_2
385,bear,38,23,/beə/,n.熊；粗鲁的人,fruit / support / stomach / go / stand,a mother bear and her cubs,母熊和它的熊崽们,CET4_2
386,earn,38,19,/ɜːn/,v.赚得，挣得；获得,acquire / buy / find / make / score,"He earns nearly £20,000 a year.","他每年挣近20,000英镑。",CET4_2
387,consequence,38,22,/'kɒnsɪkw(ə)ns/,n.重要（性），重大意义,outcome / product / result / significance / event,I don’t suppose it is of any consequence now.,现在我觉得这事一点都无所谓了。,CET6_2
388,peer,38,14,/pɪə(r)/,n.同龄人,pore / stare at / prince / noble / nobility,American children did less well in math than their peers in Japan.,美国儿童的数学成绩不如日本的同龄儿童。,CET6_1
389,enable,38,25,/ɪn'eɪb(ə)l/,v.使能够……,capacitate / empower,The new test should enable doctors to detect the disease early.,新的检验使医生能在早期发现该种疾病。,CET4_1
390,habit,37,17,/'hæbɪt/,n.习惯；习性,manner / custom / behaviour / weakness / way,Regular exercise is a good habit.,经常锻炼是个好习惯。,CET4_2
391,customer,37,18,/'kʌstəmə/,n.顾客，主顾,client / apple / consumer / fellow / egg,We aim to offer good value and service to all our customers.,我们力求为所有的客户提供物有所值的商品和服务。,CET4_2
392,opportunity,37,22,/ɒpə'tjuːnɪtɪ/,n.机会，良机,occasion / chance / opening / room,There are fewer opportunities for new graduates this year.,今年新毕业的大学生就业机会较少。,CET4_2
393,growth,37,18,/grəʊθ/,n.增长；增长量；生长,development / making / advance / increase / progress,measures to stimulate economic growth,刺激经济增长的措施,CET4_2
394,simply,37,26,/'sɪmplɪ/,adv.简单地；朴素地,merely / fairly / just / only / but,Try to express yourself more simply.,尽量把你的意思表达得更简单明了。,CET4_2
395,wrong,37,25,/rɒŋ/,adv.错误地；邪恶地，不正当地  n.坏事；不公正  adj.错误的；失常的；不适当的  v.委屈；无理地对待；诽谤,in error / incorrectly / bad / injustice / false,You’ve spelt my name wrong.,你把我的名字拼错了。,KaoYan_2
396,strong,37,21,/strɒŋ/,adj.坚强的；强壮的；牢固的；擅长的  adv.强劲地；猛烈地  n.(Strong)人名；(英)斯特朗,tough / firm / stable / steel / heavily,He was a big strong man.,他高大健壮。,KaoYan_2
397,past,37,25,/pɑːst/,adj.过去的  n.过去,old days / foretime / ended / closing / ago,"Judging by her past performance, Jane should do very well.",从以往的表现来看，简应该会干得很好。,CET4_2
398,history,37,27,/'hɪst(ə)rɪ/,n.历史；个人经历,story / herstory,Throughout history the achievements of women have been largely ignored.,从古至今，妇女的成就都被大大地忽视了。,CET4_2
399,potential,37,21,/pəˈtenʃl/,adj.潜在的  n.潜力,possibility / probability / feasibility / maybe / chance,The company has identified 60 potential customers.,该公司已确定了60位潜在的客户。,CET6_1
400,publish,37,21,/'pʌblɪʃ/,v.公布；发表；出版,deliver / post / print / bring out,The first edition was published in 1765.,第一版于1765年出版。,CET4_2
401,apple,37,4,/'æp(ə)l/,n.苹果，苹果树,customer / fellow / egg / guy / bird,apple pie,苹果馅饼,CET4_2
402,promote,36,24,/prə'məʊt/,v.促进,facilitate / boost / prefer / upgrade / further,You don't have to sacrifice environmental protection to promote economic growth.,你们没有必要牺牲环保来促进经济增长。,CET6_1
403,unite,36,18,/juː'naɪt/,v.联合  v.使联合,intermix / league / band / combine / connect,Our goal is to unite the opposition parties and defeat the President.,我们的目标是联合各反对党挫败总统。,CET4_2
