one	/wʌn/<br>num.一  pron.一个人<br>例: They had one daughter. 他们有一个女儿。
environmental	/ɪnvaɪrən'ment(ə)l; en-/<br>adj.环境的，环境产生的<br>例: the environmental damage caused by the chemical industry 化学工业对环境造成的破坏
every	/'evrɪ/<br>adj.每一的；每隔…的<br>例: His every utterance will be scrutinized. 他说的每句话都会被细查。
individual	/ɪndɪ'vɪdjʊ(ə)l/<br>adj.特殊的<br>例: a tennis player with a highly individual style 风格非常独特的网球选手
scientific	/saɪən'tɪfɪk/<br>adj.科学(上)的<br>例: We believe in investing in scientific research. 我们相信科学研究的投资价值。
big	/bɪg/<br>adj.大的，巨大的<br>例: a big house 大房子
rise	/raɪz/<br>v.上升；增强；起立；高耸  n.上升；高地；增加；出现<br>例: The police seem unable to cope with the rising tide of (= large increase in ) car crime. 面对日益增多的汽车罪案，警方似乎无能为力。
yet	/jet/<br>adv.还；但是；已经  conj.但是；然而  n.(Yet)人名；(东南亚国家华语)一<br>例: ‘When’s your holiday?’ ‘Oh, not for ages yet.’ “你什么时候去休假？”“噢，不知何年何月呢。”
back	/bæk/<br>adv.在后；回原处；回<br>例: I’ll be back in a minute. 我马上回来。
bring	/brɪŋ/<br>v.带来；引出；促使<br>例: The discovery of gold brought thousands of people to the Transvaal. 黄金的发现把成千上万的人引到了德兰士瓦。
online	/ˌɒn'laɪn/<br>adj.在线的； 联机的， 联网的<br>例: All the city’s schools will be online by the end of the year. 到年底，市里的所有学校都会连接因特网。
process	/'prəus3s/<br>n.过程；制作方法；程序  vt.加工， 办理<br>例: the Israeli-Egyptian peace process 以－埃和平进程
challenge	/'tʃælɪn(d)ʒ/<br>n.艰巨任务<br>例: The role will be the biggest challenge of his acting career. 扮演这个角色将是他演艺生涯中最大的挑战。
book	/bʊk/<br>n.书，书籍  v.预定<br>例: I’ve just started reading a book by Graham Greene. 我刚开始看格雷厄姆·格林写的一本书。
raise	/reɪz/<br>v.提出，发起，发出<br>例: He did not raise the subject again. 他再也没有提起这个话题。
farmer	/'fɑːmə/<br>n.农民，农夫；农场主
mental	/'mentl/<br>adj.心理的， 精神的， 思想上的； 精神病的； 智力的<br>例: The centre provides help for people suffering from mental illness . 该中心对精神病患者提供帮助。
common	/'kɒmən/<br>adj.普通的；共同的<br>例: Heart disease is one of the commonest causes of death. 心脏病是最常见的死因之一。
service	/'sɜːvɪs/<br>n.服务，服侍；服役；仪式  adj.服务性的；耐用的；服现役的  v.维修，检修；保养<br>例: the health service 医疗保健服务
suggest	/sə'dʒest/<br>v.提议，建议；启发；使人想起；显示；暗示<br>例: The zoo asked its visitors to suggest a name for the new baby panda. 动物园请游客提建议，给刚出生的大熊猫起一个名字。
performance	/pə'fɔːməns/<br>n.演出； 履行， 执行， 完成； 工作情况， 表现， 工作性能<br>例: This evening’s performance will begin at 8.00 pm. 今晚的演出8点开始。
decision	/dɪ'sɪʒ(ə)n/<br>n.决定，决心；果断<br>例: Do you ever wonder if you made the right decision? 你怀疑过自己所作的决定是否正确吗？
avoid	/ə'vɔɪd/<br>vt.避免， 躲开； 撤销<br>例: Road safety is taught to young children to avoid road accidents. 小孩子受到道路安全知识的教育，以避免交通事故。
contain	/kən'teɪn/<br>v.包含，容纳；等于<br>例: The thieves stole a purse containing bank-notes. 小偷们偷到了一个里面有钞票的钱包。
far	/fɑː/<br>adj.远的  adv.远，遥远<br>例: We can walk to my house from here. It isn’t far. 我们可以从这里步行去我家，不远。
produce	/prə'djuːs/<br>v.生产；产生；展现<br>例: New drugs are producing remarkable results . 新药正在产生显著的效果。
poor	/pɔː; pʊə/<br>adj.贫穷的；贫乏的<br>例: Her family were so poor they couldn’t afford to buy her new clothes. 她家穷得甚至买不起新衣服给她。
leave	/liːv/<br>v.离去  v.离开<br>例: My baby gets upset when I leave the room. 我一离开房间宝宝就会不安。
traffic	/'træfɪk/<br>n.交通，通行；交通量<br>例: There wasn’t much traffic on the roads. 路上车辆不多。
face	/feɪs/<br>n.脸；表面；外表<br>例: She had a beautiful face. 她面容秀美。
activity	/æk'tɪvɪtɪ/<br>n.活动；活力；行动<br>例: Everyone is free to engage in peaceful political activity. 每个人都可以自由参加和平的政治活动。
select	/sɪ'lekt/<br>adj.精选的， 挑选出来的； 优等的， 第一流的  vt.选择，挑选<br>例: The party was small and select. 团里人员不多，都是经过精心挑选的。
demand	/dɪ'mɑːnd/<br>vt.要求，需要；询问  n.要求， 需要<br>例: Angry demonstrators demanded the resignation of two senior officials. 愤怒的示威者要求两名高级官员辞职。
drive	/draɪv/<br>v.驾驶；打入；驱<br>例: Torrential rain drove the players off the course. 滂沱大雨迫使选手们离开了赛场。
light	/laɪt/<br>adj.轻的，少量的<br>例: You can carry this bag – it’s fairly light. 你可以拿这个袋子——它很轻。
culture	/'kʌltʃə/<br>n.文化， 文明； 教养； 培养； 培养菌<br>例: We speak Danish at home so that the boys don’t lose touch with their language and culture. 我们在家说丹麦语，这样男孩子们就不会脱离他们的语言和文化。
art	/ɑːt/<br>n.艺术，美术；技术<br>例: the Museum of Modern Art in New York 纽约现代艺术博物馆
real	/riːl/<br>adj.真的；现实的<br>例: There is a real danger that the disease might spread. 这种疾病确实有蔓延的危险。
development	/dɪ'veləpm(ə)nt/<br>n.发展；开发；生长<br>例: child development 儿童发育
resource	/rɪ'sɔːs; rɪ'zɔːs/<br>n.资源； 财力； 应付办法， 谋略<br>例: Canada’s vast mineral resources 加拿大丰富的矿产资源
reason	/'riːz(ə)n/<br>v.论证，推断<br>例: They reasoned that other businesses would soon copy the idea. 他们推断其他企业也会很快仿效这个点子。
gas	/gæs/<br>n.煤气；气体；汽油<br>例: hydrogen gas 氢气
emission	/ɪ'mɪʃ(ə)n/<br>n.散发；传播；发出物<br>例: the emission of carbon dioxide into the atmosphere 向大气排放二氧化碳
effort	/'efət/<br>n.努力；努力的成果<br>例: Lou lifted the box easily, without using much effort. 卢没费多大力气就把箱子搬了起来。
difference	/'dɪf(ə)r(ə)ns/<br>n.差别；差；分歧<br>例: (= there’s a very big difference ) between us. 我们之间有着天壤之别。
percent	/pə'sent/<br>n.百分之…<br>例: At the end of the day, add up the percent DVs. 在一天结束后，把所有营养素的百分比加起来。
save	/seɪv/<br>v.节省<br>例: We’ll save a lot of time if we go by car. 我们要是开车去，可以节省很多时间。
consumer	/kən'sjuːmə/<br>n.消费者，用户<br>例: Consumers will soon be paying higher airfares. 不久消费者就要支付更高的机票价了。
task	/tɑːsk/<br>n.任务，工作<br>例: Sara had the task of preparing the agenda for meetings. 萨拉的任务是准备会议议程。
please	/pliːz/<br>v.使高兴，请vi满意<br>例: a business that wants to please its customers 希望让顾客满意的一家公司
global	/'gləʊb(ə)l/<br>adj.全球的<br>例: global climate change 全球气候变化
decide	/dɪ'saɪd/<br>v.决定，决心；解决<br>例: Has anything been decided yet? 已经作出什么决定了吗？
policy	/'pɒləsɪ/<br>n.政策，方针<br>例: ...plans that include changes in foreign policy and economic reforms. …包括外交政策调整和经济改革的计划。
kind	/kaɪnd/<br>n.种类<br>例: Get me a sandwich – any kind will do. 给我一份三明治，随便哪种都可以。
instead	/ɪn'sted/<br>adv.代替，顶替；反而<br>例: You probably picked up my keys instead of yours. 你可能没拿你的钥匙而错拿了我的。
train	/treɪn/<br>n.火车；行列；长队；裙裾  v.培养；训练；瞄准<br>例: We went all the way to Inverness by train. 我们一路坐火车到因弗内斯。
item	/'aɪtəm/<br>n.条， 条款<br>例: He opened the cardboard box and took out each item. 他打开纸板箱把里面的物品一一拿出来。
water	/'wɔːtə/<br>n.水  v.使湿，灌溉<br>例: There’s water all over the bathroom floor. 浴室地面上都是水。
car	/kɑː/<br>n.汽车，小汽车，轿车<br>例: Dan got out of the car and locked the door. 丹下了车，锁上车门。
project	/prəˈdʒekt; ˈprɒdʒekt/<br>v.伸出； 投射； 放映  n.方案， 计划； 课题， 项目； 工程<br>例: Bradley projects a natural warmth and sincerity. 布拉德利表现出一种自然的热情和真诚。
access	/ˈækses/<br>v.取得，获取<br>例: Users can access their voice mail remotely. 用户可以远程获取语音邮件。
hour	/'aʊə/<br>n.小时；时间，时刻<br>例: The interview will last about two hours. 面试大概要持续两小时。
run	/rʌn/<br>v.经营；奔跑；运转  n.奔跑；赛跑；趋向；奔跑的路程<br>例: For a while, she ran a restaurant in Boston. 有一段时间她在波士顿开餐馆。
compare	/kəm'peə/<br>vt.比较， 对照； 把…比作<br>例: The report compares the different types of home computer available. 这份报告比较了市场上不同类型的家用计算机。
stop	/stɒp/<br>v.停止；堵塞；断绝  n.停止；车站；障碍；逗留<br>例: Stop throwing those stones! 别再扔那些石头了！
friend	/frend/<br>n.朋友，友人<br>例: Jerry, this is my friend Sue. 杰里，这是我的朋友休。
success	/sək'ses/<br>n.成就，成功；成功的事物，有成就的人<br>例: The experiment was a big success. 实验非常成功。
major	/'meɪdʒə(r)/<br>adj.主要的  v.主修<br>例: There are two major political parties in the US. 美国有两大政党。
point	/pɒɪnt/<br>n.点；要点；细目；分<br>例: That’s a very interesting point. 那个观点很有趣。
condition	/kən'dɪʃ(ə)n/<br>n.状况，状态；环境<br>例: Profits increased by £1.5m, despite the difficult economic conditions. 尽管经济形势不佳，利润还是增长了150万英镑。
actually	/'æktjʊəlɪ; -tʃʊ-/<br>adv.实际上；竟然<br>例: I’ve known Barbara for years. Since we were babies, actually. 我认识芭芭拉很多年了，实际上我们从小就认识。
team	/tiːm/<br>v.协作，合作<br>例: black trousers teamed with a bright shirt 配亮色衬衫的黑裤子
attach	/ə'tætʃ/<br>vt.缚， 系， 贴， 附加； 使依恋， 使喜爱； 使附属； 认为有<br>例: When approving a merger, the commission can attach conditions. 委员会在批准公司合并时可能附加条件。
measure	/ˈmeʒə(r)/<br>n.措施<br>例: New safety measures were being demanded after last night’s horrific train crash. 昨晚发生严重的火车相撞事故后，民众要求制定新的安全措施。
open	/'əʊp(ə)n/<br>adj.开的；开放的  v.开<br>例: He threw the door open and ran down the stairs. 他猛地打开门，往楼下跑去。
claim	/kleɪm/<br>v.索取，声称<br>例: I don’t claim to be a feminist, but I’d like to see more women in top jobs. 我不会自称是女权主义者，但我希望看到更多的女性担任高职。
always	/'ɔːlweɪz; -ɪz/<br>adv.总是，一直；永远<br>例: Always lock your bicycle to something secure. 每次都要把自行车锁在牢固的物体上。
specie	/ˈspiːʃiːz/<br>n.物种；种类（species 的词形）<br>例: This species is found only in the tropics. 该物种仅见于热带地区。
away	/ə'weɪ/<br>adv.离开，远离；…去<br>例: Go away! 走开！
eat	/iːt/<br>v.吃，喝  v.吃饭<br>例: Felix chatted cheerfully as he ate. 费利克斯一边吃一边兴奋地聊天。
encourage	/ɪn'kʌrɪdʒ/<br>v.鼓励<br>例: I want to thank everyone who has encouraged and supported me. 我要感谢每一位鼓励和支持过我的人。
affect	/ə'fekt/<br>v.影响；感动<br>例: the areas affected by the hurricane 受飓风影响的地区
decade	/'dekeɪd/<br>n.十年， 十年期<br>例: ...the last decade of the nineteenth century. …19世纪的最后10年。
stress	/stres/<br>v.强调<br>例: Crawford stressed the need for more housing downtown. 克劳福德强调市中心需要建更多的住宅。
importance	/ɪm'pɔːt(ə)ns/<br>n.重要；重要性<br>例: He was full of his own importance (= he behaved in an annoying way which showed that he thought he was very important ). 他自以为很了不起。
music	/'mjuːzɪk/<br>n.音乐，乐曲，乐谱<br>例: I often listen to classic music when I’m in the car. 我在车上经常听古典音乐。
math	/mæθ/<br>n.数学（等于mathematics）<br>例: Tim’s good at math and science. 蒂姆的数学和自然科学很好。
lecture	/'lektʃə/<br>n&vi.演讲，讲课<br>例: ...a series of lectures by Professor Eric Robinson. …埃里克·鲁滨逊教授的系列讲座。
lose	/luːz/<br>v.失去；迷失；输掉<br>例: I’ve lost my appetite. 我已经没有了胃口。
able	/'eɪb(ə)l/<br>adj.有能力的；出色的<br>例: one of my more able students 我班上能力比较强的学生之一
clear	/klɪə/<br>adj.清晰的  v.清除<br>例: clear instructions 明确的指示
already	/ɔːl'redɪ/<br>adv.早已，已经<br>例: The design of the new house is similar to those that have already been built. 新房的设计与那些已建好的房子相似。
competition	/ˌkɒmpə'tɪʃn/<br>n.比赛； 竞争<br>例: Going to trade fairs is an ideal opportunity to size up the competition . 参加商品交易会是估量竞争规模的理想机会。
phone	/fəʊn/<br>n.电话，电话机；耳机<br>例: Much of his work is done by phone . 他的工作大部分是通过电话进行的。
side	/saɪd/<br>n.旁边，侧面；坡，岸；一边/侧/方  v.支持<br>例: Fuel is cheaper on the French side of the border. 燃料在边境那边的法国要便宜些。
bad	/bæd/<br>adj.坏的，恶的；严重的<br>例: I have some bad news for you. 我有坏消息要告诉你。
easy	/'iːzɪ/<br>adj.容易的；安逸的<br>例: The test was easy. 考试很容易。
concern	/kən'sɜːn/<br>n.所关切的事；商行<br>例: One of the concerns that people have is the side effects of treatment. 人们担心的问题之一是治疗的副作用。
local	/'ləʊk(ə)l/<br>adj.地方的；局部的<br>例: local hospital 当地医院
someone	/'sʌmwʌn/<br>pron.有人，某人<br>例: What would you do if someone tried to rob you in the street? 要是有人在街上抢劫你，你会怎么办？
today	/tə'deɪ/<br>adv.今天；现今  n.今天；现今<br>例: I couldn’t go shopping yesterday so I’ll have to go today. 我昨天没能去买东西，所以今天我必须去。
control	/kən'trəʊl/<br>v.控制，克制  n.控制<br>例: Police had to be called in to control the crowds. 只好调来警察控制人群。
sentence	/'sentəns/<br>v & n.判决<br>例: She received an eight-year prison sentence. 她被判八年徒刑。
contribute	/kən'trɪbju:t/<br>v.有助于<br>例: The U.S. is contributing $4 billion in loans, credits, and grants. 美国以信贷和赠与的方式捐助了40亿美元。
economy	/i'kɒnəmi/<br>n.经济； 节约， 节省<br>例: The council must make economies to meet government spending targets. 市政会必须采取节约措施以达到政府的开支指标。
test	/test/<br>n.试验；检验  v.试验；测试<br>例: Did you get a good mark in the test? 你这次测验成绩好吗？
class	/klɑːs/<br>n.班，班级；阶级<br>例: He’s not in the same class (= not as good ) as her at tennis. 他的网球水平并不如她。
enjoy	/ɪn'dʒɒɪ; en-/<br>v.享受；欣赏，喜爱<br>例: Sandra enjoys her job in the city. 桑德拉很喜欢她在城里的这份工作。
knowledge	/'nɒlɪdʒ/<br>n.知识，学识；知道<br>例: He did not have much knowledge of American history. 他对美国历史所知不多。
model	/'mɒdl/<br>n.模型；模式；模特儿<br>例: a working model (= one with parts which move ) of a steam engine 蒸汽机车的活动模型
satellite	/'sætəlaɪt/<br>n.附属国<br>例: a satellite country 卫星国
move	/muːv/<br>n.行动，步骤<br>例: She’s still thinking about her next move. 她还在考虑她的下一步行动。
beauty	/'bjuːtɪ/<br>n.美，美丽；美人<br>例: her beauty and grace 她的美貌和优雅风姿
nation	/'neɪʃ(ə)n/<br>n.民族；国家<br>例: the President’s radio broadcast to the nation 总统对全国的广播讲话
negative	/'negətɪv/<br>adj.负的；（结果）阴性的<br>例: a negative trade balance 贸易逆差
career	/kə'rɪə/<br>n.生涯，职业，经历<br>例: a teaching career 教学事业
greenhouse	/'griːnhaʊs/<br>n.温室，玻璃暖房
involve	/ɪn'vɒlv/<br>vt.使卷入， 牵涉； 包含， 含有<br>例: What will the job involve? 这份工作包括什么？
ask	/ɑːsk/<br>v.问；要求；邀请<br>例: ‘What’s your name?’ she asked. “你叫什么名字？”她问道 。
cannot	/ˈkænɒt/<br>v.不能；无法<br>例: I cannot agree with you on this point. 在这一点上我无法同意你。
sleep	/sliːp/<br>v.睡，睡觉  n.睡眠<br>例: I usually sleep on my back. 我一般仰卧着睡觉。
gain	/geɪn/<br>v.获得；增加  n.增进<br>例: After gaining independence in 1957, it was renamed ‘Ghana’. 1957年获得独立后，该国改名为“加纳”。
protect	/prə'tekt/<br>v.保护，保卫，警戒<br>例: Are we doing enough to protect the environment? 我们在保护环境方面做得够吗？
achieve	/ə'tʃi:v/<br>v.达到，实现<br>例: Frances achieved very good exam results. 弗朗西丝考试取得了优异成绩。
prevent	/prɪ'vent/<br>v.预防<br>例: The rules are intended to prevent accidents. 这些规定旨在预防事故。
remain	/rɪ'meɪn/<br>vi.剩下，余留，保持；仍然是  n.残余； 残骸； 遗迹<br>例: The refugees were allowed to remain in the UK. 难民获准留在英国。
hold	/həʊld/<br>v.拿住；掌握；拥有<br>例: He holds shares in ICI. 他持有帝国化学工业集团的股份。
power	/'paʊə/<br>n.能力；力；权；幂<br>例: They seized power in a military coup. 他们在一场军事政变中夺取了政权。
mind	/maɪnd/<br>n.头脑；理智；记忆<br>例: It is impossible to understand the complex nature of the human mind . 要想了解人类思维复杂的特性是不可能的。
form	/fɔːm/<br>n.形式；形状  v.形成<br>例: We oppose racism in all its forms. 我们反对各种形式的种族主义。
course	/kɔːs/<br>n.课程；过程；一道菜
green	/griːn/<br>adj.绿色的  n.绿色<br>例: beautiful green eyes 漂亮的碧眼
across	/ə'krɒs/<br>prep.横过；在…对面
advance	/əd'vɑ:ns/<br>v & n.前进，提前<br>例: I should warn you in advance that I’m not a very good dancer. 我要先提醒你，我跳舞不是很好。
patient	/'peɪʃ(ə)nt/<br>adj.忍耐的  n.病人<br>例: You’ll just have to be patient and wait till I’m off the phone. 你只能耐心点，等我打完电话。
quality	/'kwɒlɪtɪ/<br>n.品质<br>例: Much of the land was of poor quality. 很多地的土质很差。
positive	/'pɒzɪtɪv/<br>adj.正的，阳性的；正的，正极的，阳性的；正的，正数的<br>例: The test results came back positive. 化验结果呈阳性。
field	/fiːld/<br>n.田野；田；运动场<br>例: a view of green fields and rolling hills 田野青翠、丘陵起伏的景色
close	/kləʊs/<br>v.关，闭；结束<br>例: Would you mind if I closed the window? 我把窗户关上你不介意吧？
comment	/'kɒment/<br>n.评论<br>例: He was fined for making abusive comments to the referee. 他因谩骂裁判而被罚款。
effective	/ɪ'fektɪv/<br>adj.有效的； 有影响的<br>例: The cheaper drugs are just as effective in treating arthritis. 较便宜的药品对治疗关节炎同样有效。
prove	/pruːv/<br>v.证明  v.结果是<br>例: You’re wrong, and I can prove it. 你错了，我可以证明。
age	/eɪdʒ/<br>n.年龄；时代  v.变老<br>例: Francis is the same age as me. 弗朗西斯和我同年岁。
advice	/ədˈvaɪs/<br>n.建议<br>例: You should have followed my advice. 你真该听我的建议。
adult	/'ædʌlt; ə'dʌlt/<br>n.成年人  adj.成年的<br>例: Some children find it difficult to talk to adults. 一些孩子觉得与大人很难谈得来。
term	/tɜːm/<br>n.学期;期限,期间;(pl.)条件,条款;术语<br>例: Teachers often feel overworked in term time (= during the term ) . 教师在学期内经常觉得工作担子过重。
population	/pɒpjʊ'leɪʃ(ə)n/<br>n.人口；全体居民<br>例: Nearly 70 percent of the population still live in the countryside. 人口中差不多有70%仍住在乡村。
old	/əʊld/<br>adj.老的；…岁的<br>例: How old are you? 你多大年纪？
law	/lɔː/<br>n.法律，法令；法则<br>例: Elected officials ought to obey the law. 民选官员理应遵守法律。
digital	/'dɪdʒɪt(ə)l/<br>adj.数字的，计数的<br>例: digital TV 数字电视
physical	/ˈfɪzɪkl/<br>adj.身体上的<br>例: She was in constant physical pain. 她一直感到身上疼痛。
lack	/læk/<br>v.缺少<br>例: Alex’s real problem is that he lacks confidence. 亚历克斯的真正问题是缺乏信心。
step	/step/<br>n.步，脚步；步骤；步伐；梯级  v.踏，踩；走<br>例: a video of baby’s first steps 一盒婴儿学步的录像带
rich	/rɪtʃ/<br>adj.富有的；肥沃的；昂贵的  n.(Rich)人名；(丹)里克；(捷)里赫；(英、西)里奇；(葡、法)里什<br>例: Rich mineral deposits have been found in the sea bed. 海底发现有丰富的矿床。
support	/sə'pɔːt/<br>v.经受，承受<br>例: The middle part of the bridge is supported by two huge towers. 桥的中部由两个巨型桥塔支撑。
enough	/ɪ'nʌf/<br>adj.足够的  adv.足够地<br>例: Her disappearance and death would give proof enough of Charles' guilt. 她的失踪和死亡将提供足够的证据证明查尔斯有罪。
continue	/kən'tɪnjuː/<br>v.继续，连续；延伸<br>例: He will be continuing his education in the US. 他将在美国继续求学。
reach	/riːtʃ/<br>v.抵达；伸出vi达到<br>例: Chelsea could reach the final of the European Cup. 切尔西队会进入欧洲杯决赛。
national	/'næʃ(ə)n(ə)l/<br>adj.民族的；国家的<br>例: Religion matters very much at a national level. 宗教事务在全国都非常重要。
communication	/kəˌmjuːnɪ'keɪʃn/<br>n.通讯， 交流， 交际； 通信工具， 交通联系<br>例: Good communication is vital in a large organization. 在大机构里良好的沟通是极为重要的。
tell	/tel/<br>v.告诉，说；辨别；吩咐；断定  n.(Tell)人名；(英、德、瑞典)特尔；(罗、意)泰尔；(阿拉伯)塔勒<br>例: I’ll tell you all about it when I get back. 我回来再告诉你这一切。
standard	/'stændəd/<br>n.标准；水准；旗；度量衡标准  adj.标准的；合规格的；公认为优秀的<br>例: Students have to reach a certain standard or they won’t pass. 学生必须达到某一标准，否则无法通过。
belief	/bɪ'liːf/<br>n.信任，相信；信念<br>例: When you get something wrong, it can shake your belief in yourself. 如果有什么事情没做好，就会动摇你对自己的信心。
since	/sɪns/<br>conj.因为；由于；既然；自…以来；自…以后  prep.自…以来；自…以后  adv.后来<br>例: We’ve been waiting here since two o’clock. 我们从两点钟开始就在这里等了。
exist	/ɪg'zɪst; eg-/<br>v.存在；生存，生活<br>例: The custom of arranged marriages still exists in many countries. 许多国家仍存在包办婚姻的习俗。
almost	/'ɔːlməʊst/<br>adv.几乎，差不多<br>例: Have you almost finished? 你差不多完成了吗？
century	/ˈsentʃərɪ/<br>n.世纪，百年<br>例: the story of life on a small farm at the turn of the century 讲述世纪初一个小农场生活的故事
case	/keɪs/<br>n.情况；事实；病例<br>例: Tom’s career is a case in point (= a clear example of something that you are discussing or explaining ) . 汤姆的事业就是个明证。
bear	/beə/<br>n.熊；粗鲁的人<br>例: a mother bear and her cubs 母熊和它的熊崽们
earn	/ɜːn/<br>v.赚得，挣得；获得<br>例: He earns nearly £20,000 a year. 他每年挣近20,000英镑。
consequence	/'kɒnsɪkw(ə)ns/<br>n.重要（性），重大意义<br>例: I don’t suppose it is of any consequence now. 现在我觉得这事一点都无所谓了。
peer	/pɪə(r)/<br>n.同龄人<br>例: American children did less well in math than their peers in Japan. 美国儿童的数学成绩不如日本的同龄儿童。
enable	/ɪn'eɪb(ə)l/<br>v.使能够……<br>例: The new test should enable doctors to detect the disease early. 新的检验使医生能在早期发现该种疾病。
habit	/'hæbɪt/<br>n.习惯；习性<br>例: Regular exercise is a good habit. 经常锻炼是个好习惯。
customer	/'kʌstəmə/<br>n.顾客，主顾<br>例: We aim to offer good value and service to all our customers. 我们力求为所有的客户提供物有所值的商品和服务。
opportunity	/ɒpə'tjuːnɪtɪ/<br>n.机会，良机<br>例: There are fewer opportunities for new graduates this year. 今年新毕业的大学生就业机会较少。
growth	/grəʊθ/<br>n.增长；增长量；生长<br>例: measures to stimulate economic growth 刺激经济增长的措施
simply	/'sɪmplɪ/<br>adv.简单地；朴素地<br>例: Try to express yourself more simply. 尽量把你的意思表达得更简单明了。
wrong	/rɒŋ/<br>adv.错误地；邪恶地，不正当地  n.坏事；不公正  adj.错误的；失常的；不适当的  v.委屈；无理地对待；诽谤<br>例: You’ve spelt my name wrong. 你把我的名字拼错了。
strong	/strɒŋ/<br>adj.坚强的；强壮的；牢固的；擅长的  adv.强劲地；猛烈地  n.(Strong)人名；(英)斯特朗<br>例: He was a big strong man. 他高大健壮。
past	/pɑːst/<br>adj.过去的  n.过去<br>例: Judging by her past performance, Jane should do very well. 从以往的表现来看，简应该会干得很好。
history	/'hɪst(ə)rɪ/<br>n.历史；个人经历<br>例: Throughout history the achievements of women have been largely ignored. 从古至今，妇女的成就都被大大地忽视了。
potential	/pəˈtenʃl/<br>adj.潜在的  n.潜力<br>例: The company has identified 60 potential customers. 该公司已确定了60位潜在的客户。
publish	/'pʌblɪʃ/<br>v.公布；发表；出版<br>例: The first edition was published in 1765. 第一版于1765年出版。
apple	/'æp(ə)l/<br>n.苹果，苹果树<br>例: apple pie 苹果馅饼
promote	/prə'məʊt/<br>v.促进<br>例: You don't have to sacrifice environmental protection to promote economic growth. 你们没有必要牺牲环保来促进经济增长。
unite	/juː'naɪt/<br>v.联合  v.使联合<br>例: Our goal is to unite the opposition parties and defeat the President. 我们的目标是联合各反对党挫败总统。
role	/rəʊl/<br>n.角色；任务<br>例: She has just landed the lead role in their latest production. 她刚在他们最新的作品中取得了主角。
memory	/'mem(ə)rɪ/<br>n.记忆；回忆；存储<br>例: He has lots of happy memories of his stay in Japan. 他对在日本逗留的那段时光有许多美好的回忆。
cognitive	/ˈkɒgnətɪv/<br>adj.认知的<br>例: cognitive psychology 认知心理学
derive	/dɪ'raɪv/<br>v.获得<br>例: Mr. Ying is one of those happy people who derive pleasure from helping others. 英先生是那种助人为乐的快活人。
progress	/'prəʊgres/<br>n.前进，进展；进步<br>例: We made good progress despite the snow. 尽管下雪，我们的行程还是很顺利。
huge	/hjuːdʒ/<br>adj.巨大的，庞大的<br>例: a huge dog 一条大狗
half	/hɑːf/<br>n.半，一半  adj.一半的<br>例: Only half the guests had arrived by seven o’clock. 7点钟前只来了一半客人。
approach	/ə'prəʊtʃ/<br>n.方法<br>例: He decided to adopt a different approach and teach the Bible through story-telling. 他决定采用一种不同的方法，通过讲故事来教授《圣经》。
order	/'ɔːdə/<br>n.次序；整齐  v.命令<br>例: There seemed to be no logical order to the sections. 这几部分似乎没有逻辑顺序。
buy	/baɪ/<br>v.买，购买  v.买<br>例: People say the judge had been bought by the Mafia. 人们都说法官被黑手党收买了。
degree	/dɪˈgri:/<br>n.程度<br>例: Preheat the oven to 425 degrees. 把烘箱预热至425度。
expect	/ɪk'spekt; ek-/<br>v.料想，认为<br>例: I expected her to be taller than me, not shorter. 我曾以为她个子比我高，不会比我矮。
draw	/drɔː/<br>v.画，划；拖；拨出<br>例: Katie had drawn a cottage with a little stream running next to it. 凯蒂画了一间小茅舍，旁边流淌着一条小溪。
meat	/miːt/<br>n.肉<br>例: I gave up eating meat a few months ago. 我几个月以前开始不吃肉了。
accept	/ə'ksept/<br>v.接受；同意<br>例: Rick accepted her offer of coffee. 她请里克喝咖啡，他接受了。
average	/'ævərɪdʒ/<br>adj.平常的<br>例: The age of the candidates ranged from 29 to 49 with an average age of 37. 候选人的年龄29岁至49岁不等，平均37岁。
act	/ækt/<br>v.行动；见效  n.行为<br>例: The company acted correctly in sacking him. 公司解雇他做得对。
expert	/'ekspɜːt/<br>adj.熟练的  n.专家<br>例: ...a yoga expert. …一位瑜伽专家。
medical	/'medɪk(ə)l/<br>adj.医学的；内科的<br>例: medical research 医学研究
game	/geɪm/<br>n.游戏；比赛；猎物<br>例: The boys were playing a game in the backyard. 男孩们在后院里玩游戏。
consider	/kən'sɪdə/<br>v.认为；考虑；关心<br>例: We will have to consider your offer carefully . 我们得仔细考虑你的提议。
break	/breɪk/<br>v.打破；损坏；破坏<br>例: The silence was broken by a loud scream. 一声尖叫打破了寂静。
cite	/saɪt/<br>v.引证；引用；〔法院〕传召，传讯<br>例: The judge cited a 1956 Supreme Court ruling in her decision. 法官在她的判决中引用了1956年最高法院的一项裁决。
photo	/'fəʊtəʊ/<br>n.照片，相片<br>例: Can you take a photo of me and Rachel? 你能给我和雷切尔拍张照吗？
free	/friː/<br>adj.自由的；空闲的<br>例: He knew he could be free in as little as three years. 他知道只要再过三年他就能自由了。
action	/'ækʃ(ə)n/<br>n.行动<br>例: The government must take action (=do something) now to stop the rise in violent crime. 政府现在必须采取行动遏止暴力犯罪的上升。
house	/haʊs/<br>n.议院，会议厅<br>例: The president will address both houses of Congress. 总统将向参众两院发表讲话。
especially	/ɪ'speʃ(ə)lɪ; e-/<br>adv.特别，尤其，格外<br>例: I never liked long walks, especially in winter. 我向来不喜欢长距离散步，尤其在冬天。
